,change,changeOverTime,changePercent,close,date,high,label,low,open,uClose,uHigh,uLow,uOpen,uVolume,volume
0,0.0,0.0,0.0,25.45,2003-04-01,25.67,"Apr 1, 03",25.25,25.44,25.45,25.67,25.25,25.44,73500900,73500900
1,0.91,0.035756,3.5756,26.36,2003-04-02,26.56,"Apr 2, 03",26.03,26.06,26.36,26.56,26.03,26.06,75989500,75989500
2,0.12,0.040472,0.4552,26.48,2003-04-03,26.85,"Apr 3, 03",26.31,26.64,26.48,26.85,26.31,26.64,71132900,71132900
3,-0.43,0.023576,-1.6239,26.05,2003-04-04,26.6,"Apr 4, 03",25.16,26.57,26.05,26.6,25.16,26.57,65756700,65756700
4,0.04,0.025147,0.1536,26.09,2003-04-07,27.2,"Apr 7, 03",26.07,27.11,26.09,27.2,26.07,27.11,83899400,83899400
5,-0.03,0.023969,-0.115,26.06,2003-04-08,26.29,"Apr 8, 03",25.88,26.15,26.06,26.29,25.88,26.15,54286100,54286100
6,-0.6,0.000393,-2.3024,25.46,2003-04-09,26.62,"Apr 9, 03",25.41,26.1,25.46,26.62,25.41,26.1,76557800,76557800
7,0.31,0.012574,1.2176,25.77,2003-04-10,25.77,"Apr 10, 03",25.3,25.46,25.77,25.77,25.3,25.46,57254700,57254700
8,-0.26,0.002358,-1.0089,25.51,2003-04-11,26.17,"Apr 11, 03",25.36,26.02,25.51,26.17,25.36,26.02,67995900,67995900
9,0.52,0.02279,2.0384,26.03,2003-04-14,26.14,"Apr 14, 03",25.49,25.6,26.03,26.14,25.49,25.6,53429000,53429000
10,0.25,0.032613,0.9604,26.28,2003-04-15,26.46,"Apr 15, 03",25.85,25.97,26.28,26.46,25.85,25.97,64669300,64669300
11,-0.06,0.030255,-0.2283,26.22,2003-04-16,26.83,"Apr 16, 03",26.12,26.65,26.22,26.83,26.12,26.65,70747400,70747400
12,0.6,0.053831,2.2883,26.82,2003-04-17,26.98,"Apr 17, 03",26.15,26.16,26.82,26.98,26.15,26.16,70280500,70280500
13,0.1,0.05776,0.3729,26.92,2003-04-21,27.11,"Apr 21, 03",26.62,26.95,26.92,27.11,26.62,26.95,52751600,52751600
14,0.51,0.0778,1.8945,27.43,2003-04-22,27.46,"Apr 22, 03",26.65,26.74,27.43,27.46,26.65,26.74,70911000,70911000
15,0.2,0.085658,0.7291,27.63,2003-04-23,27.75,"Apr 23, 03",27.26,27.5,27.63,27.75,27.26,27.5,70580300,70580300
16,-0.15,0.079764,-0.5429,27.48,2003-04-24,27.75,"Apr 24, 03",27.27,27.36,27.48,27.75,27.27,27.36,72541100,72541100
17,-0.53,0.058939,-1.9287,26.95,2003-04-25,27.42,"Apr 25, 03",26.86,27.32,26.95,27.42,26.86,27.32,63355800,63355800
18,0.53,0.079764,1.9666,27.48,2003-04-28,27.63,"Apr 28, 03",26.95,27.05,27.48,27.63,26.95,27.05,59687600,59687600
19,0.25,0.089587,0.9098,27.73,2003-04-29,28.06,"Apr 29, 03",27.41,27.64,27.73,28.06,27.41,27.64,80374000,80374000
20,-0.28,0.078585,-1.0097,27.45,2003-04-30,27.79,"Apr 30, 03",27.43,27.65,27.45,27.79,27.43,27.65,60442200,60442200
21,0.24,0.088016,0.8743,27.69,2003-05-01,27.87,"May 1, 03",27.19,27.44,27.69,27.87,27.19,27.44,66067300,66067300
22,0.0,0.088016,0.0,27.69,2003-05-02,0.0,"May 2, 03",0.0,0.0,27.69,0.0,0.0,0.0,0,0
23,0.56,0.11002,2.0224,28.25,2003-05-05,28.71,"May 5, 03",28.17,28.33,28.25,28.71,28.17,28.33,80682100,80682100
24,0.36,0.124165,1.2743,28.61,2003-05-06,28.9,"May 6, 03",28.21,28.22,28.61,28.9,28.21,28.22,77630500,77630500
25,-0.32,0.111591,-1.1185,28.29,2003-05-07,28.69,"May 7, 03",28.12,28.41,28.29,28.69,28.12,28.41,70379800,70379800
26,-0.52,0.091159,-1.8381,27.77,2003-05-08,28.19,"May 8, 03",27.76,27.86,27.77,28.19,27.76,27.86,80340700,80340700
