date,Close,High,Low,Open,Volume,PriceDelta,VolDelta,Labels
2003-04-02,26.36,26.56,26.03,26.06,75989500.0,0.03575638506876228,0.03385808881251794,1
2003-04-03,26.48,26.85,26.31,26.64,71132900.0,0.004552352048558459,-0.06391146145191112,0
2003-04-04,26.05,26.6,25.16,26.57,65756700.0,-0.016238670694864038,-0.0755796544215124,1
2003-04-07,26.09,27.2,26.07,27.11,83899400.0,0.0015355086372360518,0.275906485574854,0
2003-04-08,26.06,26.29,25.88,26.15,54286100.0,-0.0011498658489843287,-0.352961999728246,0
2003-04-09,25.46,26.62,25.41,26.1,76557800.0,-0.023023791250959245,0.4102652428522218,1
2003-04-10,25.77,25.77,25.3,25.46,57254700.0,0.012175962293794137,-0.25213760061025786,0
2003-04-11,25.51,26.17,25.36,26.02,67995900.0,-0.010089251067132248,0.1876038124381055,1
2003-04-14,26.03,26.14,25.49,25.6,53429000.0,0.020384163073304568,-0.21423203457855547,1
2003-04-15,26.28,26.46,25.85,25.97,64669300.0,0.009604302727621973,0.21037825899792248,0
2003-04-16,26.22,26.83,26.12,26.65,70747400.0,-0.002283105022831137,0.09398740979104458,1
2003-04-17,26.82,26.98,26.15,26.16,70280500.0,0.022883295194508064,-0.006599535813330243,1
2003-04-21,26.92,27.11,26.62,26.95,52751600.0,0.0037285607755406943,-0.24941342193069202,1
2003-04-22,27.43,27.46,26.65,26.74,70911000.0,0.01894502228826144,0.3442435869243777,1
2003-04-23,27.63,27.75,27.26,27.5,70580300.0,0.007291286912139967,-0.0046635923904612825,0
2003-04-24,27.48,27.75,27.27,27.36,72541100.0,-0.00542888165037997,0.0277811230612508,0
2003-04-25,26.95,27.42,26.86,27.32,63355800.0,-0.01928675400291125,-0.12662201152174424,1
2003-04-28,27.48,27.63,26.95,27.05,59687600.0,0.019666048237476853,-0.05789840866976662,1
2003-04-29,27.73,28.06,27.41,27.64,80374000.0,0.009097525473071324,0.34657784866538444,0
2003-04-30,27.45,27.79,27.43,27.65,60442200.0,-0.01009736747205197,-0.24798815537362828,1
2003-05-01,27.69,27.87,27.19,27.44,66067300.0,0.008743169398907177,0.09306577192756055,1
2003-05-05,28.25,28.71,28.17,28.33,80682100.0,0.020223907547851163,0.22121079565836654,1
2003-05-06,28.61,28.9,28.21,28.22,77630500.0,0.012743362831858387,-0.03782251577487448,0
2003-05-07,28.29,28.69,28.12,28.41,70379800.0,-0.01118490038448096,-0.09340014556134509,0
2003-05-08,27.77,28.19,27.76,27.86,80340700.0,-0.018381053375751133,0.14153066646964044,1
2003-05-09,28.41,28.48,28.0,28.04,58582400.0,0.023046453006841938,-0.2708253724450994,1
2003-05-12,28.84,28.96,28.17,28.36,67616300.0,0.015135515663498758,0.15420843120117989,0
2003-05-13,28.66,28.99,28.54,28.63,65188300.0,-0.006241331484049921,-0.03590850135248454,0
2003-05-14,28.6,28.97,28.36,28.87,62241700.0,-0.0020935101186321955,-0.045201362821242465,1
2003-05-15,28.92,28.98,28.56,28.75,62498100.0,0.011188811188811197,0.004119424758642518,0
2003-05-16,28.7,28.94,28.48,28.73,70647500.0,-0.007607192254495242,0.13039436398866525,0
2003-05-19,27.69,28.68,27.61,28.52,91768100.0,-0.03519163763066195,0.2989575002654022,1
2003-05-20,27.77,27.96,27.41,27.76,72020400.0,0.002889129649692968,-0.21519133555124276,0
2003-05-21,27.69,27.75,27.44,27.65,64121500.0,-0.002880806625855178,-0.10967586961472027,1
2003-05-22,28.09,28.32,27.62,27.76,62475900.0,0.014445648248465098,-0.025663778919707118,1
2003-05-23,28.1,28.25,27.95,28.04,37940600.0,0.0003559985760057516,-0.39271623137881967,1
2003-05-27,29.1,29.22,27.9,27.93,101576300.0,0.03558718861209964,1.6772454837298303,1
2003-05-28,29.19,29.4,28.96,29.16,76402500.0,0.0030927835051546343,-0.24783143311973363,1
2003-05-29,29.31,29.8,29.16,29.23,97639000.0,0.004110996916752225,0.2779555642812735,1
2003-05-30,29.79,29.87,29.45,29.53,78165500.0,0.016376663254861836,-0.19944386976515532,0
2003-06-02,29.58,30.2,29.31,30.08,103106400.0,-0.007049345417925507,0.31907810990782376,1
2003-06-04,30.42,30.58,29.72,29.81,87125100.0,0.02839756592292101,-0.15499813784595332,0
2003-06-05,30.42,30.68,29.97,30.13,89554300.0,0.0,0.027881747051079424,0
2003-06-06,30.13,31.47,30.02,31.17,157195800.0,-0.009533201840894236,0.7553126985527217,0
2003-06-09,29.73,30.22,29.53,30.0,94993100.0,-0.013275804845668721,-0.39570204801909464,1
2003-06-10,30.18,30.2,29.68,29.86,69956000.0,0.015136226034308755,-0.2635675643809919,1
2003-06-11,30.52,30.64,29.8,30.07,87431400.0,0.011265738899933726,0.24980559208645434,1
2003-06-12,30.65,30.75,30.26,30.64,79619500.0,0.004259501965923952,-0.08934890668569873,0
2003-06-13,29.96,30.73,29.86,30.66,83400500.0,-0.022512234910277252,0.047488366543371914,1
2003-06-16,30.88,30.9,30.0,30.17,71626500.0,0.03070761014686242,-0.1411742135838514,0
2003-06-17,30.76,31.11,30.56,31.02,67730000.0,-0.0038860103626942176,-0.0544002568881629,1
2003-06-18,30.92,31.23,30.45,30.66,80257400.0,0.005201560468140447,0.18496087405876274,0
2003-06-19,30.42,31.24,30.38,30.98,79568600.0,-0.016170763260025874,-0.008582386172490013,0
2003-06-20,30.38,30.78,30.25,30.69,71587900.0,-0.0013149243918475575,-0.10029961567754114,0
2003-06-23,29.91,30.37,29.56,30.33,86654400.0,-0.01547070441079654,0.2104615444788854,0
2003-06-24,29.68,30.13,29.53,29.73,83062900.0,-0.007689735874289549,-0.041446250853967026,0
2003-06-25,29.52,30.18,29.47,29.67,94372300.0,-0.005390835579514829,0.13615464906715272,1
2003-06-26,30.22,30.28,29.61,29.71,79296500.0,0.02371273712737125,-0.15974814643703714,0
2003-06-27,29.83,30.57,29.77,30.25,82571500.0,-0.012905360688285922,0.0413006879244355,1
2003-06-30,29.95,30.34,29.8,30.16,72096700.0,0.004022795843110996,-0.1268573297081923,1
2003-07-01,30.35,30.38,29.26,29.7,105978400.0,0.013355592654424112,0.4699480003939154,1
2003-07-02,30.97,30.99,30.38,30.41,82018400.0,0.020428336079077344,-0.22608380575664475,0
2003-07-03,30.58,31.84,30.47,30.7,50050800.0,-0.01259283177268326,-0.3897613218497313,1
2003-07-07,31.89,31.9,30.96,30.97,88766200.0,0.042838456507521334,0.7735221015448305,1
2003-07-08,32.28,32.31,31.62,31.78,82338200.0,0.01222953904045157,-0.07241495073575302,0
2003-07-09,32.2,32.49,31.93,32.18,89874600.0,-0.0024783147459726857,0.09152981240784958,0
2003-07-10,31.6,31.99,31.33,31.85,103231500.0,-0.01863354037267085,0.14861707312188316,1
2003-07-11,31.84,31.99,31.61,31.65,67817400.0,0.00759493670886071,-0.3430551721131631,1
2003-07-14,32.22,32.75,32.07,32.34,84579300.0,0.01193467336683414,0.24716223270134213,1
2003-07-15,32.26,32.65,31.94,32.53,76339000.0,0.0012414649286157401,-0.09742691178574427,0
2003-07-16,32.16,32.5,31.73,32.46,81729500.0,-0.003099814011159375,0.07061266194212656,0
2003-07-17,31.18,31.84,31.04,31.68,110515500.0,-0.030472636815920304,0.35221064609473934,1
2003-07-18,31.28,31.96,30.92,31.4,80597300.0,0.0032071840923669475,-0.2707149675837326,0
2003-07-21,30.88,31.3,30.61,31.24,112035500.0,-0.012787723785166308,0.3900651758805816,1
2003-07-22,31.34,31.5,30.86,31.11,91654800.0,0.014896373056994847,-0.18191287582953616,1
2003-07-23,31.6,31.64,30.99,31.38,69215700.0,0.008296107211231703,-0.24482187512274317,0
2003-07-24,31.18,32.02,31.08,31.85,83637800.0,-0.013291139240506383,0.2083645762449849,1
2003-07-25,31.8,31.84,30.77,31.13,83086600.0,0.019884541372674824,-0.006590321600998592,1
2003-07-28,31.89,31.99,31.6,31.86,56222300.0,0.0028301886792452785,-0.3233289122433702,0
2003-07-29,31.65,32.02,31.23,31.93,80631800.0,-0.007525870178739479,0.43416046657642965,0
2003-07-30,31.42,31.74,31.33,31.71,56663000.0,-0.007266982622432761,-0.29726237042953274,1
2003-07-31,31.8,32.33,31.52,31.79,85739500.0,0.01209420751113937,0.5131479095706193,0
2003-08-01,31.46,31.79,31.3,31.69,73582900.0,-0.010691823899371065,-0.141785291493419,0
2003-08-04,31.45,31.92,30.84,31.42,96441800.0,-0.00031786395422764025,0.3106550570852739,0
